iter	Passed	Remaining
0	0	78
1	1	69
2	2	65
3	2	59
4	3	59
5	3	61
6	4	61
7	5	60
8	5	59
9	6	58
10	7	57
11	7	56
12	8	55
13	8	54
14	9	53
15	10	52
16	10	51
17	11	52
18	12	51
19	12	50
20	13	50
21	13	49
22	14	48
23	15	47
24	15	47
25	16	46
26	16	45
27	17	45
28	18	44
29	18	43
30	19	42
31	19	42
32	20	41
33	21	40
34	21	40
35	22	39
36	22	38
37	23	38
38	24	37
39	24	36
40	25	36
41	25	35
42	26	34
43	26	34
44	27	33
45	28	33
46	28	32
47	29	32
48	30	31
49	30	30
50	31	30
51	32	29
52	32	29
53	33	28
54	33	27
55	34	27
56	35	26
57	35	25
58	36	25
59	36	24
60	37	23
61	38	23
62	38	22
63	39	22
64	39	21
65	40	20
66	41	20
67	41	19
68	42	18
69	42	18
70	43	17
71	44	17
72	44	16
73	45	15
74	45	15
75	46	14
76	46	14
77	47	13
78	48	12
79	48	12
80	49	11
81	50	11
82	51	10
83	51	9
84	52	9
85	52	8
86	53	8
87	54	7
88	54	6
89	55	6
90	56	5
91	56	4
92	57	4
93	58	3
94	58	3
95	59	2
96	59	1
97	60	1
98	61	0
99	61	0
