iter	Passed	Remaining
0	141	141003
1	141	70801
2	142	47346
3	143	35700
4	144	28688
5	144	23998
6	145	20646
7	146	18132
8	146	16181
9	147	14609
10	148	13322
11	148	12247
12	149	11337
13	149	10560
14	150	9885
15	151	9293
16	151	8773
17	152	8314
18	153	7904
19	153	7530
20	154	7190
21	154	6886
22	155	6604
23	155	6343
24	156	6105
25	157	5889
26	157	5684
27	158	5497
28	159	5325
29	159	5169
30	160	5017
31	161	4873
32	161	4738
33	162	4611
34	162	4490
35	163	4377
36	164	4270
37	164	4169
38	165	4072
39	165	3980
40	166	3893
41	167	3812
42	167	3734
43	168	3659
44	169	3589
45	169	3523
46	170	3459
47	171	3397
48	172	3348
49	173	3297
50	174	3245
51	175	3193
52	175	3141
53	176	3090
54	177	3042
55	177	2995
56	178	2950
57	178	2906
58	179	2863
59	180	2822
60	180	2782
61	181	2744
62	181	2706
63	182	2671
64	183	2637
65	183	2603
66	184	2570
67	185	2546
68	186	2517
69	187	2488
70	188	2460
71	188	2432
72	189	2403
73	189	2376
74	190	2349
75	191	2323
76	191	2297
77	192	2271
78	192	2247
79	193	2223
80	193	2200
81	194	2177
82	194	2151
83	195	2130
84	195	2109
85	196	2089
86	197	2071
87	198	2058
88	200	2048
89	201	2032
90	202	2018
91	202	2000
92	203	1983
93	204	1966
94	204	1949
95	205	1932
96	205	1916
97	206	1900
98	207	1883
99	207	1868
100	208	1852
101	208	1837
102	209	1822
103	209	1808
104	210	1794
105	211	1780
106	211	1767
107	212	1753
108	212	1740
109	213	1727
110	214	1715
111	215	1705
112	216	1697
113	216	1685
114	217	1673
115	218	1661
116	218	1649
117	219	1637
118	219	1626
119	220	1615
120	220	1605
121	221	1595
122	222	1586
123	223	1576
124	224	1568
125	224	1558
126	225	1547
127	225	1538
128	226	1528
129	227	1519
130	227	1510
131	228	1500
132	229	1493
133	229	1485
134	230	1476
135	231	1468
136	231	1459
137	232	1450
138	232	1442
139	233	1434
140	234	1426
141	234	1416
142	235	1408
143	235	1400
144	236	1393
145	236	1385
146	237	1378
147	238	1371
148	238	1363
149	239	1357
150	240	1350
151	240	1344
152	241	1337
153	242	1330
154	242	1322
155	243	1315
156	244	1310
157	244	1305
158	245	1298
159	246	1292
160	246	1285
161	247	1278
162	247	1272
163	248	1266
164	248	1259
165	249	1253
166	250	1247
167	250	1241
168	251	1236
169	251	1230
170	252	1224
171	253	1219
172	253	1214
173	254	1209
174	255	1204
175	256	1199
176	256	1193
177	257	1188
178	258	1185
179	259	1180
180	259	1175
181	260	1170
182	261	1165
183	261	1160
184	262	1155
185	262	1150
186	263	1144
187	263	1139
188	264	1135
189	265	1130
190	265	1125
191	266	1120
192	266	1116
193	267	1111
194	268	1107
195	268	1102
196	269	1098
197	269	1093
198	270	1089
199	271	1085
200	272	1081
201	273	1078
202	273	1075
203	274	1072
204	275	1068
205	276	1064
206	276	1060
207	277	1055
208	277	1051
209	278	1048
210	279	1044
211	279	1040
212	280	1036
213	281	1032
214	281	1028
215	282	1025
216	283	1021
217	283	1017
218	284	1013
219	284	1009
220	285	1006
221	286	1002
222	286	998
223	287	995
224	287	991
225	288	988
226	289	985
227	289	981
228	290	978
229	291	974
230	291	971
231	292	967
232	293	964
233	293	961
234	294	957
235	294	954
236	295	951
237	296	947
238	296	944
239	297	940
240	297	937
241	298	934
242	298	931
243	299	928
244	300	924
245	300	921
246	301	918
247	301	915
248	302	912
249	303	909
250	303	907
251	304	904
252	305	901
253	305	898
254	306	895
255	307	893
256	307	890
257	308	887
258	309	884
259	309	881
260	310	878
261	310	875
262	311	872
263	312	869
264	312	867
265	313	864
266	313	861
267	314	858
268	314	855
269	315	852
270	316	850
271	316	847
272	317	845
273	318	842
274	318	840
275	319	837
276	319	834
277	320	832
278	321	829
279	321	827
280	322	824
281	322	822
282	323	819
283	324	816
284	324	814
285	325	811
286	325	809
287	326	806
288	326	804
289	327	801
290	328	799
291	328	797
292	329	794
293	329	792
294	330	789
295	331	787
296	331	785
297	332	783
298	333	781
299	333	779
300	334	777
301	335	774
302	335	772
303	336	770
304	337	768
305	337	765
306	338	763
307	338	761
308	339	759
309	340	757
310	340	754
311	341	752
312	341	750
313	342	748
314	343	745
315	343	743
316	344	741
317	344	739
318	345	737
319	345	735
320	347	734
321	348	733
322	348	731
323	349	729
324	350	726
325	350	724
326	351	722
327	351	720
328	352	718
329	352	716
330	353	714
331	354	712
332	354	710
333	355	708
334	355	706
335	356	704
336	357	702
337	357	700
338	358	698
339	358	696
340	359	694
341	360	692
342	360	691
343	361	689
344	362	688
345	363	686
346	363	684
347	364	682
348	364	680
349	365	678
350	365	676
351	366	674
352	367	672
353	367	671
354	368	669
355	368	667
356	369	665
357	369	663
358	370	661
359	371	659
360	371	658
361	372	656
362	373	654
363	373	652
364	374	651
365	377	654
366	378	653
367	379	652
368	380	650
369	381	648
370	381	647
371	382	645
372	382	643
373	383	642
374	384	640
375	384	638
376	385	636
377	385	634
378	386	633
379	386	631
380	387	629
381	387	627
382	388	625
383	389	624
384	389	622
385	390	621
386	391	619
387	391	618
388	392	616
389	393	614
390	393	613
391	394	611
392	395	610
393	395	608
394	396	606
395	396	605
396	397	603
397	397	601
398	398	600
399	398	598
400	399	596
401	399	594
402	400	593
403	400	591
404	401	589
405	402	588
406	402	586
407	403	585
408	403	583
409	404	581
410	404	580
411	405	579
412	406	577
413	406	576
414	407	574
415	407	572
416	408	571
417	409	569
418	409	567
419	410	566
420	410	564
421	411	563
422	411	561
423	412	560
424	412	558
425	413	556
426	413	555
427	414	553
428	414	552
429	415	550
430	415	549
431	416	547
432	417	546
433	417	544
434	418	543
435	418	541
436	419	540
437	419	538
438	420	537
439	421	536
440	422	534
441	422	533
442	423	532
443	423	530
444	424	529
445	424	527
446	425	526
447	425	524
448	426	523
449	426	521
450	427	520
451	427	518
452	428	517
453	428	515
454	429	514
455	430	513
456	430	511
457	431	510
458	431	508
459	432	507
460	432	506
461	433	504
462	433	503
463	434	502
464	435	500
465	435	499
466	436	498
467	436	496
468	437	495
469	437	493
470	438	492
471	439	491
472	439	489
473	440	488
474	440	486
475	441	485
476	441	484
477	442	482
478	442	481
479	443	480
480	444	479
481	444	477
482	445	476
483	445	475
484	446	473
485	446	472
486	447	471
487	447	469
488	448	468
489	448	467
490	449	465
491	449	464
492	450	463
493	451	462
494	451	460
495	452	459
496	452	458
497	453	457
498	453	455
499	454	454
500	455	453
501	455	451
502	456	450
503	457	449
504	457	448
505	458	447
506	458	446
507	459	444
508	459	443
509	460	442
510	460	441
511	461	439
512	462	438
513	462	437
514	463	436
515	463	434
516	464	433
517	464	432
518	465	431
519	465	430
520	466	428
521	467	427
522	467	426
523	468	425
524	468	424
525	469	422
526	469	421
527	470	420
528	471	419
529	471	418
530	472	417
531	473	416
532	473	415
533	474	413
534	474	412
535	475	411
536	475	410
537	476	409
538	477	408
539	477	407
540	478	405
541	479	405
542	479	403
543	480	402
544	481	401
545	481	400
546	482	399
547	482	398
548	483	397
549	484	396
550	484	394
551	485	393
552	486	392
553	486	391
554	487	390
555	487	389
556	488	388
557	488	387
558	489	386
559	490	385
560	490	383
561	491	382
562	491	381
563	492	380
564	493	379
565	494	378
566	494	377
567	495	376
568	496	375
569	496	374
570	497	373
571	497	372
572	498	371
573	499	370
574	499	369
575	500	368
576	501	367
577	502	366
578	503	365
579	503	364
580	504	363
581	505	362
582	506	361
583	506	360
584	507	360
585	508	359
586	509	358
587	509	357
588	510	356
589	511	355
590	511	354
591	512	353
592	513	352
593	513	351
594	514	350
595	515	349
596	515	348
597	516	347
598	516	346
599	517	345
600	518	343
601	518	342
602	519	341
603	519	340
604	520	339
605	521	338
606	521	337
607	522	336
608	523	335
609	523	334
610	524	333
611	525	333
612	525	332
613	526	331
614	527	330
615	527	329
616	528	328
617	529	327
618	529	326
619	530	325
620	531	324
621	531	323
622	532	322
623	532	321
624	533	320
625	533	319
626	534	317
627	535	316
628	535	315
629	536	314
630	536	313
631	537	312
632	538	311
633	538	311
634	539	310
635	540	309
636	541	308
637	541	307
638	542	306
639	543	305
640	543	304
641	544	303
642	544	302
643	545	301
644	545	300
645	546	299
646	546	298
647	547	297
648	548	296
649	548	295
650	549	294
651	549	293
652	550	292
653	551	291
654	551	290
655	552	289
656	553	289
657	554	288
658	555	287
659	555	286
660	556	285
661	557	284
662	557	283
663	558	282
664	558	281
665	559	280
666	559	279
667	560	278
668	561	277
669	561	276
670	562	275
671	563	274
672	563	273
673	564	272
674	564	271
675	565	270
676	565	270
677	566	269
678	567	268
679	567	267
680	568	266
681	569	265
682	569	264
683	570	263
684	570	262
685	571	261
686	572	260
687	572	259
688	573	258
689	573	257
690	574	256
691	575	255
692	575	254
693	576	254
694	576	253
695	577	252
696	577	251
697	578	250
698	578	249
699	579	248
700	579	247
701	580	246
702	580	245
703	581	244
704	582	243
705	582	242
706	583	241
707	584	241
708	585	240
709	585	239
710	586	238
711	587	237
712	587	236
713	588	235
714	589	234
715	589	233
716	590	233
717	590	232
718	591	231
719	592	230
720	592	229
721	593	228
722	593	227
723	594	226
724	594	225
725	595	224
726	595	223
727	596	222
728	597	222
729	597	221
730	598	220
731	599	219
732	599	218
733	600	217
734	600	216
735	601	215
736	602	214
737	602	213
738	603	212
739	603	212
740	604	211
741	604	210
742	605	209
743	605	208
744	606	207
745	606	206
746	607	205
747	607	204
748	608	203
749	608	202
750	609	202
751	610	201
752	610	200
753	611	199
754	612	198
755	613	197
756	613	196
757	614	196
758	614	195
759	615	194
760	615	193
761	616	192
762	616	191
763	617	190
764	617	189
765	618	188
766	619	188
767	619	187
768	620	186
769	620	185
770	621	184
771	621	183
772	622	182
773	622	181
774	623	181
775	624	180
776	625	179
777	625	178
778	626	177
779	627	176
780	628	176
781	628	175
782	629	174
783	629	173
784	630	172
785	631	171
786	631	170
787	632	170
788	632	169
789	633	168
790	633	167
791	634	166
792	634	165
793	635	164
794	636	164
795	636	163
796	637	162
797	637	161
798	638	160
799	639	159
800	640	159
801	640	158
802	641	157
803	642	156
804	642	155
